text,labels,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC,clean_text
Selalu suka dengan koleksi uniqlo bahan dipake enak pas dengan style yang diinginkan,"['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,selalu suka dengan koleksi uniqlo bahan dipake enak pas dengan style yang diinginkan
"Mall favorit kalo kejogja, banyak pilihan brand fashion, salah satu nya uniqlo.barang bagus"" dan recommended","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,mall favorit kalo kejogja banyak pilihan brand fashion salah satu nya uniqlo barang bagus dan recommended
"favorit buat belanja, hanya kadang barang yg diskon ato tidak tercampur..pernah mengira baju itu ada diskon..sampai dikasir ternyata tidak..","['PROMOTION_NEGATIVE', 'PLACE_NEGATIVE']",0,0,0,0,0,0,0,1,0,0,1,0,0,favorit buat belanja hanya kadang barang yg diskon ato tidak tercampur pernah mengira baju itu ada diskon sampai dikasir ternyata tidak
"Tempat fashion anak muda. Harga terjangkau , dengan kualitas yang bagus","['PRODUCT_POSITIVE', 'PRICE_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,1,0,0,0,0,0,0,0,0,1,tempat fashion anak muda harga terjangkau dengan kualitas yang bagus
lengkap dan satu-satunya di Jogja,"['PRODUCT_POSITIVE', 'PLACE_POSITIVE']",1,0,0,0,0,0,1,0,0,0,0,0,0,lengkap dan satu satunya di jogja
"Ingin tampil trendy disini tempatnya, cocok untuk anda yang menyukai basic style.",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,ingin tampil trendy disini tempatnya cocok untuk anda yang menyukai basic style
"thanks to hartono, ada uniqlo di jogja wkwk",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,thanks to hartono ada uniqlo di jogja wkwk
"Tempat belanja favorit, apalagi kalau pas ada diskonan","['PROMOTION_NEUTRAL', 'PLACE_POSITIVE']",0,0,0,0,0,0,1,0,0,0,0,1,0,tempat belanja favorit apalagi kalau pas ada diskonan
"Udah bayar ternyata harganya beda dengan yang di tag
Di tag 199 ribu, bayarnya 299
Ngak jelas
Untung perhatikan notanya
Kalo ngak udah bayar","['OUT_OF_TOPIC', 'PRICE_NEGATIVE']",0,0,0,0,1,0,0,0,0,0,0,0,1,udah bayar ternyata harganya beda dengan yang di tag di tag 199 ribu bayarnya 299 ngak jelas untung perhatikan notanya kalo ngak udah bayar
nice lengakap yg mau nyari uniqlo collab masih lenkap juga artikel nya,['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,nice lengakap yg mau nyari uniqlo collab masih lenkap juga artikel nya
Bersih wangi. Sayang yg dicari ndak ada.....,"['PLACE_POSITIVE', 'PRODUCT_NEGATIVE']",0,1,0,0,0,0,1,0,0,0,0,0,0,bersih wangi sayang yg dicari ndak ada
"Uniqlo jogja barangnya nggak seberapa lengkap, paling enak ke uniqlo jakarta atau surabaya. Tp ya lumayanlah, ada uniqlo di jogja hahaha","['PRODUCT_NEGATIVE', 'OUT_OF_TOPIC']",0,1,0,0,0,0,0,0,0,0,0,0,1,uniqlo jogja barangnya nggak seberapa lengkap paling enak ke uniqlo jakarta atau surabaya tp ya lumayanlah ada uniqlo di jogja hahaha
"Kualitas barang sangat bagus, kondisi toko bersih dan rapi, barangnya lengkap serta servicenya bagus","['PLACE_POSITIVE', 'PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,1,0,0,0,0,0,1,kualitas barang sangat bagus kondisi toko bersih dan rapi barangnya lengkap serta servicenya bagus
"satu satunya uniqlo di kota yogya, produk lumayan lengkap walaupun ga selengkap uniqlo yang ada di web. bisa dijadikan tempat untuk pickup pesanan melalui web juga disini","['PRODUCT_POSITIVE', 'PRODUCT_NEGATIVE', 'PLACE_NEUTRAL']",1,1,0,0,0,0,0,0,1,0,0,0,0,satu satunya uniqlo di kota yogya produk lumayan lengkap walaupun ga selengkap uniqlo yang ada di web bisa dijadikan tempat untuk pickup pesanan melalui web juga disini
"Dulu saya pikir UNIQLO ini overrated
Sampai akhirnya saya beli baju dan celana di sini dan kagum dengan bahan kain dan pola jahitannya

Sejak saat itu saya selalu beli UNIQLO

Mantap","['OUT_OF_TOPIC', 'PRODUCT_POSITIVE']",1,0,0,0,0,0,0,0,0,0,0,0,1,dulu saya pikir uniqlo ini overrated sampai akhirnya saya beli baju dan celana di sini dan kagum dengan bahan kain dan pola jahitannya sejak saat itu saya selalu beli uniqlo mantap
Toko fashion simple sederhana elegan...sukaaaa dan cocok....harga terjangkau dg material bahan yg nyaman...,"['PRODUCT_POSITIVE', 'PRICE_POSITIVE']",1,0,0,1,0,0,0,0,0,0,0,0,0,toko fashion simple sederhana elegan sukaaaa dan cocok harga terjangkau dg material bahan yg nyaman
Merk favorite di mall yang dekat dari rumah,['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,merk favorite di mall yang dekat dari rumah
"Ga pernah bosen beli baju di uniqlo, karena kualitas bahan dan desainnya yg bagus.
Toko juga menerapkan prokes dengan baik ditengah pandemi ini.","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,ga pernah bosen beli baju di uniqlo karena kualitas bahan dan desainnya yg bagus toko juga menerapkan prokes dengan baik ditengah pandemi ini
"Barang lumayan bagus, harga medium","['PRODUCT_POSITIVE', 'PRICE_NEUTRAL']",1,0,0,0,0,1,0,0,0,0,0,0,0,barang lumayan bagus harga medium
"Suka sama baju2 nya polos2 lutchu gitu
Warna nya soft","['PRODUCT_POSITIVE', 'PRODUCT_NEUTRAL']",1,0,1,0,0,0,0,0,0,0,0,0,0,suka sama baju2 nya polos2 lutchu gitu warna nya soft
Outletnya besar dan lengkap mantap mantap,['PLACE_POSITIVE'],0,0,0,0,0,0,1,0,0,0,0,0,0,outletnya besar dan lengkap mantap mantap
"Model variasi pakaiannya beragam, pelayanan ramah, kualitas bajunya juga oke,","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,model variasi pakaiannya beragam pelayanan ramah kualitas bajunya juga oke
"T4nya besar dan nyaman. Skrg aku tau kenapa ini merk mahal harganya, karena bahan/kain yg dipake bukan kain biasa. Ada teknologinya di setiap bahan yg dipakai, gimana nyerap keringat, gimana melepas hawa panas tubuh dll.  Bener2 beda pokoknya. Alhasil, harga nya mahal deh..","['PRICE_NEGATIVE', 'PRICE_NEUTRAL', 'PRODUCT_POSITIVE', 'PRODUCT_NEUTRAL']",1,0,1,0,1,1,0,0,0,0,0,0,0,t4nya besar dan nyaman skrg aku tau kenapa ini merk mahal harganya karena bahan kain yg dipake bukan kain biasa ada teknologinya di setiap bahan yg dipakai gimana nyerap keringat gimana melepas hawa panas tubuh dll bener2 beda pokoknya alhasil harga nya mahal deh
"Tempat favorit untuk beli bermacam busana.
Kaos (Dry, Airism) , kemeja, lengan panjang, celana panjang, pendek (relax) dll. Lengkap pokoknya, untuk pria, wanita dan anak anak.
Selalu puas klo belanja disini.","['OUT_OF_TOPIC', 'PRODUCT_POSITIVE']",1,0,0,0,0,0,0,0,0,0,0,0,1,tempat favorit untuk beli bermacam busana kaos dry airism kemeja lengan panjang celana panjang pendek relax dll lengkap pokoknya untuk pria wanita dan anak anak selalu puas klo belanja disini
"Cuman lihat2 aja, tempatnya rapi",['PLACE_POSITIVE'],0,0,0,0,0,0,1,0,0,0,0,0,0,cuman lihat2 aja tempatnya rapi
"Salah satu brand yang paling favorite, dari segi kualitas oke punya. Kalo kesini selalu  cari promo promo","['PROMOTION_NEUTRAL', 'PRODUCT_POSITIVE']",1,0,0,0,0,0,0,0,0,0,0,1,0,salah satu brand yang paling favorite dari segi kualitas oke punya kalo kesini selalu cari promo promo
Pilihan banyak.. layanan oke.. antisipasi antrian mantul..,['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,pilihan banyak layanan oke antisipasi antrian mantul
"Saya suka barang2 yang dijual uniqlo karena modelnya simple uptodate dan kualitas bahannya cukup bagus. Untuk usia 5 tahun keatas, baik male maupun female.","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,saya suka barang2 yang dijual uniqlo karena modelnya simple uptodate dan kualitas bahannya cukup bagus untuk usia 5 tahun keatas baik male maupun female
Produknya menarik dan lengkap. mulak dari kemeja sampai dengan kaos kaki.,"['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,produknya menarik dan lengkap mulak dari kemeja sampai dengan kaos kaki
"Mohon baju"" yg dijual jangan itu"" terus setiap kali saya berkunjung koleksinya model lama terus....diganti yg lebih oke donk","['PRODUCT_NEGATIVE', 'OUT_OF_TOPIC']",0,1,0,0,0,0,0,0,0,0,0,0,1,mohon baju yg dijual jangan itu terus setiap kali saya berkunjung koleksinya model lama terus diganti yg lebih oke donk
"Bahan pakaianya nyaman, harga terjangkau","['PRODUCT_POSITIVE', 'PRICE_POSITIVE']",1,0,0,1,0,0,0,0,0,0,0,0,0,bahan pakaianya nyaman harga terjangkau
"Mantaplah, sesuai selera untuk kaos nya",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,mantaplah sesuai selera untuk kaos nya
"Kl saya banyak duitnya mantap nih tempat:') sayangnya saya masih sekolah semoga saya sukses dan bisa beli baju"" lagi disini lebih banyak tanpa liat price tag. Pelayanannya mantap ramah, ada harga ada kualitas ya emg mantap lah semoga saya sukses uniqlo juga sukses",['PRICE_POSITIVE'],0,0,0,1,0,0,0,0,0,0,0,0,0,kl saya banyak duitnya mantap nih tempat sayangnya saya masih sekolah semoga saya sukses dan bisa beli baju lagi disini lebih banyak tanpa liat price tag pelayanannya mantap ramah ada harga ada kualitas ya emg mantap lah semoga saya sukses uniqlo juga sukses
"Mau cari kebutuhan baju apa aja adaa. Dari baju santau rumahan, musim dingin dll.","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,mau cari kebutuhan baju apa aja adaa dari baju santau rumahan musim dingin dll
Staffnya ramah dan semuanya rapi bersih,"['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,staffnya ramah dan semuanya rapi bersih
"Salah satu outlet di Hartono mall yogyakarta,pas kesini banyak sale,pengunjung mayoritas anak muda,ada banyak pilihan fashion mulai dari kaos,kemeja,celana dan lainnya dengan kualitas bagus","['PRODUCT_POSITIVE', 'PROMOTION_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,1,0,0,1,salah satu outlet di hartono mall yogyakarta pas kesini banyak sale pengunjung mayoritas anak muda ada banyak pilihan fashion mulai dari kaos kemeja celana dan lainnya dengan kualitas bagus
"Pelayanan bagus, selalu mengkonfirmasi size saat di kasir dan jika tidak sesuai akan diambilkan dengan size yg diminta",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,pelayanan bagus selalu mengkonfirmasi size saat di kasir dan jika tidak sesuai akan diambilkan dengan size yg diminta
"Tempat yang besar dan cukup lengkap untuk mencari kebutuhan sehari-hari ataupun kebutuhan lainnya.
Tempat parkir luas di bawah tanah, lokasi berada di pinggir jalan besar yang strategis.","['PLACE_POSITIVE', 'PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,1,0,0,0,0,0,1,tempat yang besar dan cukup lengkap untuk mencari kebutuhan sehari hari ataupun kebutuhan lainnya tempat parkir luas di bawah tanah lokasi berada di pinggir jalan besar yang strategis
"Tempat nyari baju2 berbahan unik, gak pasaran",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,tempat nyari baju2 berbahan unik gak pasaran
Bagus kualitas nya. Hanya saja diskon nya kurang berani dimasa pandemi ini.,"['PRODUCT_POSITIVE', 'PROMOTION_NEGATIVE']",1,0,0,0,0,0,0,0,0,0,1,0,0,bagus kualitas nya hanya saja diskon nya kurang berani dimasa pandemi ini
"Bingung kebijakannya....anak sy mau coba baju disuruh mbaknya pakai yg masih dalam kemasan karena tidak ada sample nya, sampai kamar pas tidak boleh sama masnya yg jaga.",[],0,0,0,0,0,0,0,0,0,0,0,0,0,bingung kebijakannya anak sy mau coba baju disuruh mbaknya pakai yg masih dalam kemasan karena tidak ada sample nya sampai kamar pas tidak boleh sama masnya yg jaga
"Bahan kainnya bagus, pelayanan ramah, pilihan model dan warna banyak. Recommended","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,bahan kainnya bagus pelayanan ramah pilihan model dan warna banyak recommended
"Bajunya nyaman semua,sampe bingung milihnya",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,bajunya nyaman semua sampe bingung milihnya
"Tempat luas, pilihan baju beragam. Harga menyesuaikan kualitas.","['PRODUCT_POSITIVE', 'PRICE_POSITIVE', 'PLACE_POSITIVE']",1,0,0,1,0,0,1,0,0,0,0,0,0,tempat luas pilihan baju beragam harga menyesuaikan kualitas
"Koleksi lengkap,  dimasa pandemi antrean kasir diperbanyak agar lebih banyak biar cepat","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,koleksi lengkap dimasa pandemi antrean kasir diperbanyak agar lebih banyak biar cepat
"tempat berbelanja kebutuhan sandang bagi kelas menengah di jogja. tempat cukup nyaman, produk juga update, pelayanan juga bagus, tidak lama, kadang kalau weekend antrian bisa panjang, sebaiknya kasirnya diperbanyak lagi, terutama di masa pandemi ini. Good job","['PRODUCT_POSITIVE', 'PLACE_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,1,0,0,0,0,0,1,tempat berbelanja kebutuhan sandang bagi kelas menengah di jogja tempat cukup nyaman produk juga update pelayanan juga bagus tidak lama kadang kalau weekend antrian bisa panjang sebaiknya kasirnya diperbanyak lagi terutama di masa pandemi ini good job
okee lgkap dan krywan ramah skali,"['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,okee lgkap dan krywan ramah skali
"Salah satu counter di hartono mall jogja yg di masa pandemi ini tetap bertahan dan masih ramai pengunjung. Tempat bersih, rapi, karyawan ramah. Protokol kesehatan jalan.","['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,salah satu counter di hartono mall jogja yg di masa pandemi ini tetap bertahan dan masih ramai pengunjung tempat bersih rapi karyawan ramah protokol kesehatan jalan
Seru belanja disini apalagi kalau banyak diskonnya,['PROMOTION_POSITIVE'],0,0,0,0,0,0,0,0,0,1,0,0,0,seru belanja disini apalagi kalau banyak diskonnya
"Mantap sampai bingung mau pilih yg mana desainya bagus-bagus kekinian, harga nya cukup mahal. Mau coba di fitting room nunggu nya cukup lama, protokol kesehatan nya cukup ketat masuk cek suhu sama handsanitizer. Kasir cukup cepat handle pelanggan","['PRODUCT_POSITIVE', 'PRICE_NEGATIVE', 'OUT_OF_TOPIC']",1,0,0,0,1,0,0,0,0,0,0,0,1,mantap sampai bingung mau pilih yg mana desainya bagus bagus kekinian harga nya cukup mahal mau coba di fitting room nunggu nya cukup lama protokol kesehatan nya cukup ketat masuk cek suhu sama handsanitizer kasir cukup cepat handle pelanggan
"tokonya nyaman, rapih berkarakter namun terkadang kalau rame kita susah bedain mana pegawai mana pengunjung","['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,tokonya nyaman rapih berkarakter namun terkadang kalau rame kita susah bedain mana pegawai mana pengunjung
Bajunya bagus2 tapi kasihan temenku ga mampu beli :( sampe merengut gini,['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,bajunya bagus2 tapi kasihan temenku ga mampu beli sampe merengut gini
"Oleh-oleh baju pertama kali asli dari Jepang, dan sekarang ada di mall yang dekat rumah. Tempatnya nyaman dan pelayanannya top","['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,oleh oleh baju pertama kali asli dari jepang dan sekarang ada di mall yang dekat rumah tempatnya nyaman dan pelayanannya top
Uniqlo hartono mall ringroad utara jogjakarta menjual pakaian bagus bagus kualitas eksport dengan harga yg relatif terjangkau dan berkualitas,"['PRODUCT_POSITIVE', 'PRICE_POSITIVE']",1,0,0,1,0,0,0,0,0,0,0,0,0,uniqlo hartono mall ringroad utara jogjakarta menjual pakaian bagus bagus kualitas eksport dengan harga yg relatif terjangkau dan berkualitas
"Tempat cari baju yang lengkap, kaos, celana, kemeja, etc. Skrg tiap mau msk dicek dulu suhunya, ya basic sih","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,tempat cari baju yang lengkap kaos celana kemeja etc skrg tiap mau msk dicek dulu suhunya ya basic sih
"Sesuai protokol yang ada, dan termasuk lengkap uniqlo disini","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,sesuai protokol yang ada dan termasuk lengkap uniqlo disini
"Just like another Uniqlo store. Penataan rapi, penawarannya oke, dan staffnya ramah dan helpful","['PLACE_POSITIVE', 'PROMOTION_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,1,0,0,1,just like another uniqlo store penataan rapi penawarannya oke dan staffnya ramah dan helpful
"Crowded, lagi banyak promo. Fitting room antri, kasir antri juga. Dpt 1 SA yg rese karena sy tdk lgs melipat kembali baju yg sy foto lalu langsung ditegur ""selesai foto baju langsung dilipat lagi"" dengan muka juteknya. Sy tdk langsung lipat krn masih lihat disekitar situ dan yg pasti sy akan lipat baju itu.",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,crowded lagi banyak promo fitting room antri kasir antri juga dpt 1 sa yg rese karena sy tdk lgs melipat kembali baju yg sy foto lalu langsung ditegur selesai foto baju langsung dilipat lagi dengan muka juteknya sy tdk langsung lipat krn masih lihat disekitar situ dan yg pasti sy akan lipat baju itu
